EGID;VOLUMEN
2248829;1989
1148;1199
210060157;590
210262530;84
1127;709
1143;994
1129;801
1130;744
1131;690
1128;778
1132;787
1133;1257
1134;878
1096;596
210262611;51
1135;572
210262646;49
1137;2482
210262625;51
1138;859
1139;769
1136;795
1098;933
1117;1709
1120;616
1119;334
1122;841
1121;711
210262497;131
210262630;53
201;3875
210262628;53
210262614;102
1123;611
1124;634
1125;623
1126;689
171;761
172;846
173;904
210262487;92
174;736
181;864
175;882
176;895
177;820
178;861
179;861
180;878
476;681
210060168;2986
210060169;191
210060170;203
2248825;879
2248938;3229
475;888
210060172;1018
210060173;3659
1171;6786
1177;5417
1179;7667
2249060;99
